id,created_at,favorite_count,retweet_count,text
1.1941E+18,11/12/2019 3:43,78,13,"The coolest Jeopardy! story.
#WeLoveYouAlex https://t.co/P02SrYHoO0"
1.15493E+18,7/27/2019 1:59,23,2,"7/26/19:
""My medical school interview was with a @Jeopardy! contestant who fell to @KenJennings.""
""The children's' book industry is phenomenal.""
""A movie editor in France has a similar name to mine.""
#Jeopardy https://t.co/NUhCad6Nwh"
1.15475E+18,7/26/2019 13:46,12,1,"If you are interested in tipping a hat of gratitude, if you like games or game shows, please check out my inexpensive selection of game show books on Amazon: https://t.co/QrA6XsWbRQ
They’re fun, I promise!
Thanks, everyone, for all of the good times since 2014. 
- @ChadMosher"
1.15475E+18,7/26/2019 13:46,165,8,"Today is the final day @CoolJepStories posts a fresh set of #Jeopardy stories. I want to thank the 10,400 of you who have followed this page and found some sort of enjoyment in the way I framed the oddest 2 minutes in television.
And thanks to original co-founder @AJMandracchia."
1.15457E+18,7/26/2019 1:42,6,1,"7/25/19:
""I like cooking with my 2-year-old son.""
""Chuck Norris' aunt thought I looked justl ike him.""
""It took me seconds to 'win' a game of anti-chess.""
#Jeopardy https://t.co/QNOWAR23Nu"
1.1545E+18,7/25/2019 21:08,8,3,"7/24/19:
“I played drums in a rhythmic troupe.”
“I had to memorize the Gettysburg Address.”
“In Mexico, I was mistaken for Nicolas Cage.”
#Jeopardy https://t.co/VZWZ0bzmdx"
1.15415E+18,7/24/2019 22:15,5,#N/A,"7/23/19:
""I like telling dad jokes.""
""I run an online forum to talk about the neighborhood.""
""My stuffed manatee is a comfort animal in my classroom.""
#Jeopardy https://t.co/OBTcBXWxzC"
1.15414E+18,7/24/2019 21:30,6,#N/A,"7/22/19:
""I explain forensic science to kids using the Goldilocks story.""
""I went to Spain &amp; ran into a lady who was my 3rd cousin.""
""I travel around the world playing Sudoku.""
#Jeopardy https://t.co/c08ArMbQBH"
1.15413E+18,7/24/2019 20:40,5,#N/A,"7/19/19:
""I deliberately struck out so we could force a win.""
""I'm a board member of a group that teaches about civic technology.""
""@MagicJohnson congratulated me on my giant chess trophy.""
#Jeopardy https://t.co/J1V2wEEwqa"
1.15412E+18,7/24/2019 19:55,8,2,"7/18/19:
""I dyed my hair blue &amp; white for the @Mets to win.""
""I took a visit to Lapland in the winter.""
""My girlfriend &amp; I are lazy and watch The Office.""
#Jeopardy https://t.co/oadgI0gyZL"
1.15411E+18,7/24/2019 19:15,26,2,"7/17/19:
“My girlfriend calls me Grandpa.”
“I curse in front of my grandma because of @Jeopardy!”
“I like to go on a wilderness hike by myself.”
#Jeopardy https://t.co/owvX1RQI0x"
1.1541E+18,7/24/2019 18:35,16,#N/A,"7/16/19:
""I follow the migration of San Francisco raptor birds.""
""I proposed to my wife via evite.""
""I collect haircuts from the cities I visit.""
#Jeopardy https://t.co/sW04F9duHb"
1.15119E+18,7/16/2019 18:00,3,#N/A,"Hey, @CoolJepStories fans! We're going to be on a little vacation. (Yes, a short vacation before our permanent next week.) There will be a mega post of stories we missed next week. Stay tuned! #Jeopardy"
1.15095E+18,7/16/2019 1:57,12,#N/A,"7/15/19:
""I told @MelBrooks that he almost killed my grandma.""
""I use a fountain pen.""
""I almost missed the call to be on @Jeopardy! because I was in Australia.""
#Jeopardy https://t.co/h9sKGen8DZ"
1.15005E+18,7/13/2019 14:22,10,3,"7/12/19:
""I enjoy wind-up toys.""
""I provide counsel for an alcohol company.""
""I dig the  Zombie Pub Crawl in Minneapolis.""
#Jeopardy https://t.co/lfIdpUDT8e"
1.15004E+18,7/13/2019 14:02,5,1,"7/11/19:
""I love @F1 racing.""
""I sang in a choir with an elephant.""
""I was at an incredibly cold football game.""
#Jeopardy https://t.co/qJhC0U1db9"
1.14914E+18,7/11/2019 2:33,4,#N/A,"7/10/19:
""I worked on constructing a military base in Saudi Arabia.""
""I grew up on a Minnesotan sheep farm.""
""I filled out a cemetery database for my Eagle Scout project.""
#Jeopardy https://t.co/GpWNAWYwXr"
1.14878E+18,7/10/2019 2:05,15,1,"7/9/19:
""I've been to a bunch of national parks.""
""I won a bronze medal at the World Fencing Championships.""
""For a decades party, I dressed like Lincoln in the 1860s.""
#Jeopardy https://t.co/iE3kjt6spx"
1.14843E+18,7/9/2019 3:15,15,1,"7/8/19:
""I've written kids' books about the history of Paris &amp; tap dancing.""
""My two-year-old son waves hello and goodbye to Alex.""
""I live in a possibly-haunted building in Gettysburg.""
#Jeopardy https://t.co/v0emZGHr0J"
