nickname,player_details,final_score,show_info,full_name,occupation,hometown,archive_info,date,city,state,answer_number,dt_indx,favorite_count,retweet_count,text,game_info_flg,year,month,value,games_played,gross_winnings,job,state_id
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 5-day cash winnings total $109,700)",27600,"J! Archive - Show #8045, aired 2019-07-26",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8045,2019-07-26,Albuquerque,New Mexico,answer3,1,23.0,2.0,"7/26/19:
""My medical school interview was with a @Jeopardy! contestant who fell to @KenJennings.""
""The children's' book industry is phenomenal.""
""A movie editor in France has a similar name to mine.""
#Jeopardy https://t.co/NUhCad6Nwh",True,2019.0,7.0,"""A movie editor in France has a similar name to mine.""",6,115000,math teacher,NM
Maggie,"Maggie Lehrman, an editor and writer from Brooklyn, New York",0,"J! Archive - Show #8045, aired 2019-07-26",Maggie Lehrman,an editor and writer,"Brooklyn, New York",J! Archive - Show #8045,2019-07-26,Brooklyn,New York,answer2,2,23.0,2.0,"7/26/19:
""My medical school interview was with a @Jeopardy! contestant who fell to @KenJennings.""
""The children's' book industry is phenomenal.""
""A movie editor in France has a similar name to mine.""
#Jeopardy https://t.co/NUhCad6Nwh",True,2019.0,7.0,"""The children's' book industry is phenomenal.""",1,0,editor writer,NY
Michael,"Michael Riggs, an educational therapist from Tustin, California",2,"J! Archive - Show #8045, aired 2019-07-26",Michael Riggs,an educational therapist,"Tustin, California",J! Archive - Show #8045,2019-07-26,Tustin,California,answer1,3,23.0,2.0,"7/26/19:
""My medical school interview was with a @Jeopardy! contestant who fell to @KenJennings.""
""The children's' book industry is phenomenal.""
""A movie editor in France has a similar name to mine.""
#Jeopardy https://t.co/NUhCad6Nwh",True,2019.0,7.0,"""My medical school interview was with a @Jeopardy! contestant who fell to @KenJennings.""",1,2,educational therapist,CA
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 4-day cash winnings total $105,300)",4400,"J! Archive - Show #8044, aired 2019-07-25",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8044,2019-07-25,Albuquerque,New Mexico,answer3,1,6.0,1.0,"7/25/19:
""I like cooking with my 2-year-old son.""
""Chuck Norris' aunt thought I looked justl ike him.""
""It took me seconds to 'win' a game of anti-chess.""
#Jeopardy https://t.co/QNOWAR23Nu",True,2019.0,7.0,"""It took me seconds to 'win' a game of anti-chess.""",6,115000,math teacher,NM
Eric,"Eric Kaplan, a retired OB-GYN physician from Long Beach, California",0,"J! Archive - Show #8044, aired 2019-07-25",Eric Kaplan,a retired OB-GYN physician,"Long Beach, California",J! Archive - Show #8044,2019-07-25,Long Beach,California,answer2,2,6.0,1.0,"7/25/19:
""I like cooking with my 2-year-old son.""
""Chuck Norris' aunt thought I looked justl ike him.""
""It took me seconds to 'win' a game of anti-chess.""
#Jeopardy https://t.co/QNOWAR23Nu",True,2019.0,7.0,"""Chuck Norris' aunt thought I looked justl ike him.""",1,0,retired ob-gyn physician,CA
Shari,"Shari Meyer, a high school English teacher from Somerville, Massachusetts",0,"J! Archive - Show #8044, aired 2019-07-25",Shari Meyer,a high school English teacher,"Somerville, Massachusetts",J! Archive - Show #8044,2019-07-25,Somerville,Massachusetts,answer1,3,6.0,1.0,"7/25/19:
""I like cooking with my 2-year-old son.""
""Chuck Norris' aunt thought I looked justl ike him.""
""It took me seconds to 'win' a game of anti-chess.""
#Jeopardy https://t.co/QNOWAR23Nu",True,2019.0,7.0,"""I like cooking with my 2-year-old son.""",1,0,high school english teacher,MA
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 3-day cash winnings total $75,300)",30000,"J! Archive - Show #8043, aired 2019-07-24",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8043,2019-07-24,Albuquerque,New Mexico,answer3,1,8.0,3.0,"7/24/19:
“I played drums in a rhythmic troupe.”
“I had to memorize the Gettysburg Address.”
“In Mexico, I was mistaken for Nicolas Cage.”
#Jeopardy https://t.co/VZWZ0bzmdx",True,2019.0,7.0,"“In Mexico, I was mistaken for Nicolas Cage.”",6,115000,math teacher,NM
Michelle,"Michelle Bruck, an attorney from Levittown, Pennsylvania",3000,"J! Archive - Show #8043, aired 2019-07-24",Michelle Bruck,an attorney,"Levittown, Pennsylvania",J! Archive - Show #8043,2019-07-24,Levittown,Pennsylvania,answer2,2,8.0,3.0,"7/24/19:
“I played drums in a rhythmic troupe.”
“I had to memorize the Gettysburg Address.”
“In Mexico, I was mistaken for Nicolas Cage.”
#Jeopardy https://t.co/VZWZ0bzmdx",True,2019.0,7.0,“I had to memorize the Gettysburg Address.”,1,3000,attorney,PA
Corin,"Corin Purifoy, a fiber artist from Milwaukee, Wisconsin",6100,"J! Archive - Show #8043, aired 2019-07-24",Corin Purifoy,a fiber artist,"Milwaukee, Wisconsin",J! Archive - Show #8043,2019-07-24,Milwaukee,Wisconsin,answer1,3,8.0,3.0,"7/24/19:
“I played drums in a rhythmic troupe.”
“I had to memorize the Gettysburg Address.”
“In Mexico, I was mistaken for Nicolas Cage.”
#Jeopardy https://t.co/VZWZ0bzmdx",True,2019.0,7.0,“I played drums in a rhythmic troupe.”,1,6100,fiber artist,WI
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 2-day cash winnings total $45,200)",12400,"J! Archive - Show #8042, aired 2019-07-23",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8042,2019-07-23,Albuquerque,New Mexico,answer3,1,5.0,0.0,"7/23/19:
""I like telling dad jokes.""
""I run an online forum to talk about the neighborhood.""
""My stuffed manatee is a comfort animal in my classroom.""
#Jeopardy https://t.co/OBTcBXWxzC",True,2019.0,7.0,"""My stuffed manatee is a comfort animal in my classroom.""",6,115000,math teacher,NM
