id,created_at,favorite_count,retweet_count,text
1194098342285991938,2019-11-12 03:43:24,78,13,"The coolest Jeopardy! story.
#WeLoveYouAlex https://t.co/P02SrYHoO0"
1154934362737205253,2019-07-27 01:59:44,23,2,"7/26/19:
""My medical school interview was with a @Jeopardy! contestant who fell to @KenJennings.""
""The children's' book industry is phenomenal.""
""A movie editor in France has a similar name to mine.""
#Jeopardy https://t.co/NUhCad6Nwh"
1154749896022548481,2019-07-26 13:46:44,12,1,"If you are interested in tipping a hat of gratitude, if you like games or game shows, please check out my inexpensive selection of game show books on Amazon: https://t.co/QrA6XsWbRQ
They’re fun, I promise!
Thanks, everyone, for all of the good times since 2014. 
- @ChadMosher"
1154749838606688257,2019-07-26 13:46:30,165,8,"Today is the final day @CoolJepStories posts a fresh set of #Jeopardy stories. I want to thank the 10,400 of you who have followed this page and found some sort of enjoyment in the way I framed the oddest 2 minutes in television.
And thanks to original co-founder @AJMandracchia."
1154567652465106944,2019-07-26 01:42:33,6,1,"7/25/19:
""I like cooking with my 2-year-old son.""
""Chuck Norris' aunt thought I looked justl ike him.""
""It took me seconds to 'win' a game of anti-chess.""
#Jeopardy https://t.co/QNOWAR23Nu"
1154498659637051393,2019-07-25 21:08:24,8,3,"7/24/19:
“I played drums in a rhythmic troupe.”
“I had to memorize the Gettysburg Address.”
“In Mexico, I was mistaken for Nicolas Cage.”
#Jeopardy https://t.co/VZWZ0bzmdx"
1154153044772306945,2019-07-24 22:15:03,5,0,"7/23/19:
""I like telling dad jokes.""
""I run an online forum to talk about the neighborhood.""
""My stuffed manatee is a comfort animal in my classroom.""
#Jeopardy https://t.co/OBTcBXWxzC"
1154141731669073920,2019-07-24 21:30:06,6,0,"7/22/19:
""I explain forensic science to kids using the Goldilocks story.""
""I went to Spain &amp; ran into a lady who was my 3rd cousin.""
""I travel around the world playing Sudoku.""
#Jeopardy https://t.co/c08ArMbQBH"
1154129140758536192,2019-07-24 20:40:04,5,0,"7/19/19:
""I deliberately struck out so we could force a win.""
""I'm a board member of a group that teaches about civic technology.""
""@MagicJohnson congratulated me on my giant chess trophy.""
#Jeopardy https://t.co/J1V2wEEwqa"
1154117827709886464,2019-07-24 19:55:07,8,2,"7/18/19:
""I dyed my hair blue &amp; white for the @Mets to win.""
""I took a visit to Lapland in the winter.""
""My girlfriend &amp; I are lazy and watch The Office.""
#Jeopardy https://t.co/oadgI0gyZL"
1154107769114517504,2019-07-24 19:15:09,26,2,"7/17/19:
“My girlfriend calls me Grandpa.”
“I curse in front of my grandma because of @Jeopardy!”
“I like to go on a wilderness hike by myself.”
#Jeopardy https://t.co/owvX1RQI0x"
1154097876869558272,2019-07-24 18:35:50,16,0,"7/16/19:
""I follow the migration of San Francisco raptor birds.""
""I proposed to my wife via evite.""
""I collect haircuts from the cities I visit.""
#Jeopardy https://t.co/sW04F9duHb"
1151189774092423173,2019-07-16 18:00:04,3,0,"Hey, @CoolJepStories fans! We're going to be on a little vacation. (Yes, a short vacation before our permanent next week.) There will be a mega post of stories we missed next week. Stay tuned! #Jeopardy"
1150947485029998593,2019-07-16 01:57:18,12,0,"7/15/19:
""I told @MelBrooks that he almost killed my grandma.""
""I use a fountain pen.""
""I almost missed the call to be on @Jeopardy! because I was in Australia.""
#Jeopardy https://t.co/h9sKGen8DZ"
1150047762404319232,2019-07-13 14:22:08,10,3,"7/12/19:
""I enjoy wind-up toys.""
""I provide counsel for an alcohol company.""
""I dig the  Zombie Pub Crawl in Minneapolis.""
#Jeopardy https://t.co/lfIdpUDT8e"
1150042725527556101,2019-07-13 14:02:07,5,1,"7/11/19:
""I love @F1 racing.""
""I sang in a choir with an elephant.""
""I was at an incredibly cold football game.""
#Jeopardy https://t.co/qJhC0U1db9"
1149144540667940864,2019-07-11 02:33:03,4,0,"7/10/19:
""I worked on constructing a military base in Saudi Arabia.""
""I grew up on a Minnesotan sheep farm.""
""I filled out a cemetery database for my Eagle Scout project.""
#Jeopardy https://t.co/GpWNAWYwXr"
1148775119013195781,2019-07-10 02:05:06,15,1,"7/9/19:
""I've been to a bunch of national parks.""
""I won a bronze medal at the World Fencing Championships.""
""For a decades party, I dressed like Lincoln in the 1860s.""
#Jeopardy https://t.co/iE3kjt6spx"
1148430342845534208,2019-07-09 03:15:05,15,1,"7/8/19:
""I've written kids' books about the history of Paris &amp; tap dancing.""
""My two-year-old son waves hello and goodbye to Alex.""
""I live in a possibly-haunted building in Gettysburg.""
#Jeopardy https://t.co/v0emZGHr0J"
1147283765003206656,2019-07-05 23:18:59,13,2,"7/5/19:
""I love to hang out in Paris every year.""
""I've visited every Canadian province &amp; I love Newfoundland.""
""I want to visit every U.S. national park.""
#Jeopardy https://t.co/62P0CWRtza"
