Nickname,Player Details,Final Score,Show Info
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 5-day cash winnings total $109,700)","$27,600 ","J! Archive - Show #8045, aired 2019-07-26"
Maggie,"Maggie Lehrman, an editor and writer from Brooklyn, New York",$0 ,"J! Archive - Show #8045, aired 2019-07-26"
Michael,"Michael Riggs, an educational therapist from Tustin, California",$2 ,"J! Archive - Show #8045, aired 2019-07-26"
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 4-day cash winnings total $105,300)","$4,400 ","J! Archive - Show #8044, aired 2019-07-25"
Eric,"Eric Kaplan, a retired OB-GYN physician from Long Beach, California",$0 ,"J! Archive - Show #8044, aired 2019-07-25"
Shari,"Shari Meyer, a high school English teacher from Somerville, Massachusetts",$0 ,"J! Archive - Show #8044, aired 2019-07-25"
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 3-day cash winnings total $75,300)","$30,000 ","J! Archive - Show #8043, aired 2019-07-24"
Michelle,"Michelle Bruck, an attorney from Levittown, Pennsylvania","$3,000 ","J! Archive - Show #8043, aired 2019-07-24"
Corin,"Corin Purifoy, a fiber artist from Milwaukee, Wisconsin","$6,100 ","J! Archive - Show #8043, aired 2019-07-24"
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 2-day cash winnings total $45,200)","$12,400 ","J! Archive - Show #8042, aired 2019-07-23"
Peggy,"Peggy Robin, a publisher and chief moderator from Washington, D.C.","$29,998 ","J! Archive - Show #8042, aired 2019-07-23"
John,"John Myers, a financial trader from Chicago, Illinois","$18,600 ","J! Archive - Show #8042, aired 2019-07-23"
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 1-day cash winnings total $26,600)","$18,600 ","J! Archive - Show #8041, aired 2019-07-22"
James,"James Pelayo, a tax professional from Torrance, California",$10 ,"J! Archive - Show #8041, aired 2019-07-22"
Cristina,"Cristina Somolinos, a forensic scientist from Bordentown, New Jersey",$211 ,"J! Archive - Show #8041, aired 2019-07-22"
Nathan,"Nathan Kaplan, a math professor from Los Angeles, California (whose 1-day cash winnings total $19,600)","$26,600 ","J! Archive - Show #8040, aired 2019-07-19"
Kathleen,"Kathleen O'Shea, a PR content manager from Chicago, Illinois","$11,800 ","J! Archive - Show #8040, aired 2019-07-19"
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico","$22,000 ","J! Archive - Show #8040, aired 2019-07-19"
Roey,"Roey Hadar, a journalist from Arlington, Virginia (whose 1-day cash winnings total $23,600)","$19,600 ","J! Archive - Show #8039, aired 2019-07-18"
Amy,"Amy King, a teacher from Seattle, Washington","$9,900 ","J! Archive - Show #8039, aired 2019-07-18"
Nathan,"Nathan Kaplan, a math professor from Los Angeles, California","$19,600 ","J! Archive - Show #8039, aired 2019-07-18"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 5-day cash winnings total $156,202)",$0 ,"J! Archive - Show #8038, aired 2019-07-17"
Jennifer,"Jennifer Abel, a graduate student from Vancouver, British Columbia, Canada","$12,001 ","J! Archive - Show #8038, aired 2019-07-17"
Roey,"Roey Hadar, a journalist from Arlington, Virginia","$23,600 ","J! Archive - Show #8038, aired 2019-07-17"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 4-day cash winnings total $113,801)","$42,401 ","J! Archive - Show #8037, aired 2019-07-16"
Peter,"Peter Smith, a lawyer from Mar Vista, California","$12,800 ","J! Archive - Show #8037, aired 2019-07-16"
JJ,"JJ Harris, a community volunteer from Petaluma, California","$12,801 ","J! Archive - Show #8037, aired 2019-07-16"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 3-day cash winnings total $75,601)","$38,200 ","J! Archive - Show #8036, aired 2019-07-15"
Christina,"Christina Harcar, an audiobook seller from The Bronx, New York","$13,600 ","J! Archive - Show #8036, aired 2019-07-15"
Jeff,"Jeff Lasky, a journalist from San Diego, California",$1 ,"J! Archive - Show #8036, aired 2019-07-15"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 2-day cash winnings total $46,000)","$29,601 ","J! Archive - Show #8035, aired 2019-07-12"
Justin,"Justin Burden, an alcohol lawyer from West Hollywood, California","$13,300 ","J! Archive - Show #8035, aired 2019-07-12"
Heather,"Heather Ringman, an engineer from Houston, Texas",$100 ,"J! Archive - Show #8035, aired 2019-07-12"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 1-day cash winnings total $38,001)","$5,800 ","J! Archive - Show #8034, aired 2019-07-11"
Kirsten,"Kirsten Rose, a librarian from Williamstown, Massachusetts",$0 ,"J! Archive - Show #8034, aired 2019-07-11"
Steven,"Steven Green, a software engineer from Millbrae, California","$11,800 ","J! Archive - Show #8034, aired 2019-07-11"
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 4-day cash winnings total $107,049)","$23,300 ","J! Archive - Show #8033, aired 2019-07-10"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota","$38,001 ","J! Archive - Show #8033, aired 2019-07-10"
Margaret,"Margaret Hamilton, a retired air traffic controller from Sebring, Florida","$6,600 ","J! Archive - Show #8033, aired 2019-07-10"
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 3-day cash winnings total $96,650)","$7,199 ","J! Archive - Show #8032, aired 2019-07-09"
Hannah,"Hannah Safford, an engineering Ph.D. student from Davis, California","$11,800 ","J! Archive - Show #8032, aired 2019-07-09"
Kevin,"Kevin Paquette, a math teacher from Charlottesville, Virginia","$10,800 ","J! Archive - Show #8032, aired 2019-07-09"
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 2-day cash winnings total $63,849)","$32,801 ","J! Archive - Show #8031, aired 2019-07-08"
Holly,"Holly Ahronheim, a stay-at-home mom from Royal Palm Beach, Florida",$0 ,"J! Archive - Show #8031, aired 2019-07-08"
Sarah,"Sarah Hoban, a freelance writer and editor from Barrington, Illinois","$32,400 ","J! Archive - Show #8031, aired 2019-07-08"
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 1-day cash winnings total $34,650)","$29,199 ","J! Archive - Show #8030, aired 2019-07-05"
Sally,"Sally Leedham, a legal assistant from Bradford, Ontario, Canada","$21,400 ","J! Archive - Show #8030, aired 2019-07-05"
Jim,"Jim Royal, a writer from St. Louis, Missouri","$1,200 ","J! Archive - Show #8030, aired 2019-07-05"
Charlie,"Charlie Jorgenson, a librarian from Loveland, Colorado (whose 2-day cash winnings total $56,800)","$24,801 ","J! Archive - Show #8029, aired 2019-07-04"
Wendy,"Wendy Foster, a social worker from Portland, Oregon","$24,800 ","J! Archive - Show #8029, aired 2019-07-04"
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania","$34,650 ","J! Archive - Show #8029, aired 2019-07-04"
Charlie,"Charlie Jorgenson, a librarian from Loveland, Colorado (whose 1-day cash winnings total $32,800)","$5,400 ","J! Archive - Show #8028, aired 2019-07-03"
Dan,"Dan Levy, a higher education administrator from Hartford, Connecticut",$0 ,"J! Archive - Show #8028, aired 2019-07-03"
